3.1620 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
140.9815 	DATA 	Keypress: down
140.9913 	EXP 	fixation: autoDraw = False
140.9913 	EXP 	grating: autoDraw = False
140.9913 	EXP 	grating: ori = 0.0
140.9913 	EXP 	fixation: autoDraw = True
141.9912 	EXP 	fixation: autoDraw = False
141.9912 	EXP 	grating: autoDraw = True
142.2911 	EXP 	grating: autoDraw = False
142.6638 	EXP 	New trial (rep=60, index=0): None
142.6661 	DATA 	Keypress: up
142.6743 	EXP 	fixation: autoDraw = False
142.6743 	EXP 	grating: autoDraw = False
142.6743 	EXP 	grating: ori = -4.0
142.6743 	EXP 	fixation: autoDraw = True
143.6740 	EXP 	fixation: autoDraw = False
143.6740 	EXP 	grating: autoDraw = True
143.9740 	EXP 	grating: autoDraw = False
144.2938 	EXP 	New trial (rep=61, index=0): None
